FILENAME;\Hard Disk2\Result\strain_B.csv
PROTOCOL;synthetic_test
FILE_VERSION;3.3;
DATE START;2026-09-01;08:00:00
DATE END;2026-09-02;04:00:00;;Last Reading;120;Timestamp;0
DEVICE;BL000-SYNTH
USER;test;COMMENT;synthetic data, not a real experiment
PLATETYPE;MTP-96-Round;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;96MTP;1;20;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];10
;;;;;;;;;;;;SET EXP TIME [h];0

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
C7;B01;X3;;1;1.07738;10.51;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B02;X3;;1;1.08333;9.74;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B03;X3;;1;1.08929;10.33;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B04;X4;;1;1.09524;10.88;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B05;X4;;1;1.10119;11.06;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B06;X4;;1;1.10714;11.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B07;X4;;1;1.11310;11.17;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B08;X4;;1;1.11905;10.42;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B09;B1;;1;1.12500;8.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B10;B1;;1;1.13095;7.26;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;B11;B1;;1;1.13690;8.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;1.16667;180.55;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C8;A01;X1;;1;1.17262;11.18;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A02;X1;;1;1.17857;10.70;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A03;X1;;1;1.18452;11.14;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A04;X1;;1;1.19048;10.65;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A05;X1;;1;1.19643;12.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A06;X2;;1;1.20238;10.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A07;X2;;1;1.20833;10.83;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A08;X2;;1;1.21429;10.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A09;X2;;1;1.22024;10.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A10;X2;;1;1.22619;10.12;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A11;X3;;1;1.23214;11.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;A12;X3;;1;1.23810;10.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B01;X3;;1;1.24405;10.66;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B02;X3;;1;1.25000;10.16;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B03;X3;;1;1.25595;10.06;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B04;X4;;1;1.26190;10.24;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B05;X4;;1;1.26786;11.02;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B06;X4;;1;1.27381;11.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B07;X4;;1;1.27976;10.98;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B08;X4;;1;1.28571;10.51;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B09;B1;;1;1.29167;7.97;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B10;B1;;1;1.29762;8.37;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C8;B11;B1;;1;1.30357;8.22;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;1.33333;179.50;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C9;A01;X1;;1;1.33929;10.87;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A02;X1;;1;1.34524;11.21;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A03;X1;;1;1.35119;11.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A04;X1;;1;1.35714;9.61;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A05;X1;;1;1.36310;12.58;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A06;X2;;1;1.36905;11.16;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A07;X2;;1;1.37500;10.18;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A08;X2;;1;1.38095;10.21;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A09;X2;;1;1.38690;10.78;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A10;X2;;1;1.39286;10.40;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A11;X3;;1;1.39881;10.56;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;A12;X3;;1;1.40476;9.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B01;X3;;1;1.41071;10.54;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B02;X3;;1;1.41667;9.83;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B03;X3;;1;1.42262;10.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B04;X4;;1;1.42857;11.63;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B05;X4;;1;1.43452;11.70;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B06;X4;;1;1.44048;10.84;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B07;X4;;1;1.44643;10.74;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B08;X4;;1;1.45238;10.63;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B09;B1;;1;1.45833;7.11;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B10;B1;;1;1.46429;8.07;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C9;B11;B1;;1;1.47024;7.72;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;1.50000;176.70;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C10;A01;X1;;1;1.50595;10.53;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A02;X1;;1;1.51190;10.84;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A03;X1;;1;1.51786;10.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A04;X1;;1;1.52381;9.89;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A05;X1;;1;1.52976;11.95;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A06;X2;;1;1.53571;10.52;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A07;X2;;1;1.54167;9.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A08;X2;;1;1.54762;10.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A09;X2;;1;1.55357;10.32;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A10;X2;;1;1.55952;10.30;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A11;X3;;1;1.56548;10.53;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;A12;X3;;1;1.57143;10.24;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;B01;X3;;1;1.57738;9.69;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;B02;X3;;1;1.58333;9.71;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C10;B03;X3;;1;1.58929;10.13;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
